"Parameter","Estimate","SE","z","P"
"Intercept (Chasselas, control, session S02)","-1.354","0.401","-3.377","<0.001"
"Chardonnay","-0.621","0.442","-1.405","0.160"
"Cabernet Sauvignon","-0.865","0.387","-2.234","0.025"
"Gamaret","0.020","0.427","0.047","0.963"
"Gamay","-0.527","0.413","-1.275","0.202"
"Merlot","0.853","0.525","1.625","0.104"
"Pinot Noir","-0.679","0.299","-2.267","0.023"
"Inoculated treatment","0.854","0.229","3.733","<0.001"
"Session S03","0.994","0.447","2.225","0.026"
"Session S04","0.109","0.752","0.145","0.885"
"Session S05","0.698","0.543","1.285","0.199"
"Session S06","1.731","0.455","3.807","<0.001"
"Session S07","1.108","0.512","2.164","0.030"
"Session S08","1.910","0.538","3.552","<0.001"
"Session S09","2.264","0.468","4.833","<0.001"
"Session S10","1.998","0.455","4.389","<0.001"
